GISJOIN,STATEA,COUNTYA,TRACTA,Total,White,Black,Native,Asian,Hawaiian,Other,Two,WPct,BPct,NPct
G32003100022062,32,31,2206,4110,3080,109,79,368,37,265,172,0.75,0.03,0.02
G32003100022071,32,31,2207,1291,999,13,6,180,2,29,62,0.77,0.01,0.00
G32003100022072,32,31,2207,1377,1104,13,3,157,1,39,60,0.80,0.01,0.00
G32003100022073,32,31,2207,1020,803,13,2,141,2,26,33,0.79,0.01,0.00
G32003100022081,32,31,2208,1767,1476,24,16,139,8,35,69,0.84,0.01,0.01
G32003100022082,32,31,2208,828,735,6,3,41,7,15,21,0.89,0.01,0.00
G32003100022091,32,31,2209,2483,2089,27,18,186,3,72,88,0.84,0.01,0.01
G32003100022092,32,31,2209,3568,2882,45,12,359,6,93,171,0.81,0.01,0.00
G32003100022101,32,31,2210,2137,1938,7,9,85,4,30,64,0.91,0.00,0.00
G32003100022111,32,31,2211,2019,1164,23,32,97,17,593,93,0.58,0.01,0.02
G32003100022112,32,31,2211,1726,997,40,54,86,27,466,56,0.58,0.02,0.03
G32003100022121,32,31,2212,1133,692,28,10,41,3,298,61,0.61,0.02,0.01
G32003100022122,32,31,2212,1312,879,38,20,15,8,303,49,0.67,0.03,0.02
G32003100022123,32,31,2212,689,480,26,6,21,2,129,25,0.70,0.04,0.01
G32003100022124,32,31,2212,1122,697,45,31,14,5,292,38,0.62,0.04,0.03
G32003100023011,32,31,2301,658,620,6,6,8,1,3,14,0.94,0.01,0.01
G32003100023012,32,31,2301,658,615,1,2,22,1,10,7,0.93,0.00,0.00
G32003100023013,32,31,2301,1358,1179,7,4,104,0,21,43,0.87,0.01,0.00
G32003100023014,32,31,2301,1991,1763,26,6,123,2,19,52,0.89,0.01,0.00
G32003100023021,32,31,2302,890,790,6,2,45,0,13,34,0.89,0.01,0.00
G32003100023022,32,31,2302,1337,1271,3,8,15,12,9,19,0.95,0.00,0.01
G32003100024011,32,31,2401,1478,1089,22,10,240,11,44,62,0.74,0.01,0.01
G32003100024012,32,31,2401,1967,1685,19,13,85,21,74,70,0.86,0.01,0.01
G32003100024061,32,31,2406,1776,1407,39,27,55,18,142,88,0.79,0.02,0.02
G32003100024062,32,31,2406,1468,1187,19,15,84,11,94,58,0.81,0.01,0.01
G32003100024063,32,31,2406,1554,1254,38,23,61,6,116,56,0.81,0.02,0.01
G32003100024071,32,31,2407,934,750,7,12,95,9,23,38,0.80,0.01,0.01
G32003100024072,32,31,2407,1256,889,40,22,185,6,62,52,0.71,0.03,0.02
G32003100024073,32,31,2407,1748,1340,34,25,162,9,102,76,0.77,0.02,0.01
G32003100024081,32,31,2408,1828,1553,17,11,126,15,46,60,0.85,0.01,0.01
G32003100024082,32,31,2408,1199,943,24,13,119,3,32,65,0.79,0.02,0.01
G32003100024091,32,31,2409,4382,3592,62,32,422,11,126,137,0.82,0.01,0.01
G32003100024101,32,31,2410,1143,880,19,8,104,3,74,55,0.77,0.02,0.01
G32003100024102,32,31,2410,1017,802,30,12,102,0,24,47,0.79,0.03,0.01
G32003100024103,32,31,2410,1800,1445,18,34,111,16,92,84,0.80,0.01,0.02
G32003100024111,32,31,2411,946,752,10,15,97,0,43,29,0.79,0.01,0.02
G32003100024112,32,31,2411,1588,1148,69,35,143,2,92,99,0.72,0.04,0.02
G32003100024113,32,31,2411,1203,931,29,13,131,4,54,41,0.77,0.02,0.01
G32003100024121,32,31,2412,802,672,8,6,82,4,8,22,0.84,0.01,0.01
G32003100024122,32,31,2412,1795,1322,7,13,281,19,58,95,0.74,0.00,0.01
G32003100025001,32,31,2500,1756,1493,39,11,92,2,72,47,0.85,0.02,0.01
G32003100025002,32,31,2500,1807,1528,19,20,112,0,48,80,0.85,0.01,0.01
G32003100025003,32,31,2500,1446,1114,59,11,62,28,111,61,0.77,0.04,0.01
G32003100026031,32,31,2603,1424,1327,6,22,9,2,18,40,0.93,0.00,0.02
G32003100026101,32,31,2610,1601,1138,61,12,120,15,171,84,0.71,0.04,0.01
G32003100026102,32,31,2610,2407,1753,46,26,131,21,318,112,0.73,0.02,0.01
G32003100026103,32,31,2610,1235,984,21,10,44,3,115,58,0.80,0.02,0.01
G32003100026111,32,31,2611,2223,1432,259,52,34,75,284,87,0.64,0.12,0.02
G32003100026112,32,31,2611,1231,1013,13,46,5,6,93,55,0.82,0.01,0.04
G32003100026113,32,31,2611,2016,1228,102,26,214,15,310,121,0.61,0.05,0.01
G32003100026121,32,31,2612,1073,959,9,10,19,0,40,36,0.89,0.01,0.01
G32003100026122,32,31,2612,879,764,8,18,17,4,32,36,0.87,0.01,0.02
G32003100026123,32,31,2612,796,671,4,12,5,7,51,46,0.84,0.01,0.02
G32003100026124,32,31,2612,1045,932,16,15,18,4,30,30,0.89,0.02,0.01
G32003100026131,32,31,2613,1138,981,32,6,23,3,33,60,0.86,0.03,0.01
G32003100026132,32,31,2613,1465,1166,42,12,33,9,141,62,0.80,0.03,0.01
G32003100026133,32,31,2613,1000,839,24,2,27,0,47,61,0.84,0.02,0.00
G32003100026134,32,31,2613,1570,1343,19,30,34,5,83,56,0.86,0.01,0.02
G32003100026141,32,31,2614,3498,2551,97,57,165,50,380,198,0.73,0.03,0.02
G32003100026151,32,31,2615,1769,1233,65,29,137,3,209,93,0.70,0.04,0.02
G32003100026152,32,31,2615,1673,1157,53,19,98,4,242,100,0.69,0.03,0.01
G32003100026161,32,31,2616,1529,1144,45,19,81,6,165,69,0.75,0.03,0.01
G32003100026162,32,31,2616,1461,1067,42,17,38,1,206,90,0.73,0.03,0.01
G32003100026163,32,31,2616,1285,921,19,15,50,11,199,70,0.72,0.01,0.01
G32003100026171,32,31,2617,977,550,60,18,38,6,213,92,0.56,0.06,0.02
G32003100026172,32,31,2617,2682,1956,159,83,74,1,317,92,0.73,0.06,0.03
G32003100026173,32,31,2617,2802,2195,61,24,170,30,211,111,0.78,0.02,0.01
G32003100026181,32,31,2618,1027,922,4,14,5,1,39,42,0.90,0.00,0.01
G32003100026182,32,31,2618,1289,1145,6,14,26,10,60,28,0.89,0.00,0.01
G32003100026183,32,31,2618,861,736,0,11,7,5,64,38,0.85,0.00,0.01
G32003100026184,32,31,2618,1403,1268,8,32,13,3,39,40,0.90,0.01,0.02
G32003100026185,32,31,2618,1029,897,12,10,28,8,46,28,0.87,0.01,0.01
G32003100026191,32,31,2619,2488,1876,76,20,128,6,300,82,0.75,0.03,0.01
G32003100026192,32,31,2619,1371,924,44,37,10,7,307,42,0.67,0.03,0.03
G32003100026193,32,31,2619,730,646,17,2,8,12,26,19,0.88,0.02,0.00
G32003100026194,32,31,2619,1188,985,30,12,56,5,49,51,0.83,0.03,0.01
G32003100027031,32,31,2703,1516,1133,10,34,12,10,253,64,0.75,0.01,0.02
G32003100027032,32,31,2703,1251,797,52,21,42,21,257,61,0.64,0.04,0.02
G32003100027041,32,31,2704,1920,1284,19,28,26,11,469,83,0.67,0.01,0.01
G32003100027042,32,31,2704,1348,767,80,42,42,23,313,81,0.57,0.06,0.03
G32003100027043,32,31,2704,1448,998,30,35,45,12,281,47,0.69,0.02,0.02
G32003100027051,32,31,2705,1767,1336,29,19,40,5,275,63,0.76,0.02,0.01
G32003100027052,32,31,2705,1555,1234,11,34,17,1,189,69,0.79,0.01,0.02
G32003100027053,32,31,2705,1286,947,10,19,13,1,262,34,0.74,0.01,0.01
G32003100027061,32,31,2706,1554,1027,50,36,85,18,284,54,0.66,0.03,0.02
G32003100027062,32,31,2706,1745,1213,37,38,40,8,341,68,0.70,0.02,0.02
G32003100027063,32,31,2706,1629,1202,26,37,15,11,282,56,0.74,0.02,0.02
G32003100027071,32,31,2707,1310,905,15,18,32,10,275,55,0.69,0.01,0.01
G32003100027072,32,31,2707,1544,1165,11,36,18,10,228,76,0.75,0.01,0.02
G32003100027073,32,31,2707,1774,1142,26,19,27,23,481,56,0.64,0.01,0.01
G32003100028011,32,31,2801,1132,897,37,8,82,6,63,39,0.79,0.03,0.01
G32003100028012,32,31,2801,1427,921,49,24,50,7,306,70,0.65,0.03,0.02
G32003100028013,32,31,2801,1809,966,52,20,267,34,402,68,0.53,0.03,0.01
G32003100028021,32,31,2802,1084,695,22,7,39,3,276,42,0.64,0.02,0.01
G32003100028022,32,31,2802,2097,1257,81,34,96,31,519,79,0.60,0.04,0.02
G32003100028023,32,31,2802,1020,672,51,10,64,0,176,47,0.66,0.05,0.01
G32003100028024,32,31,2802,1057,760,28,10,47,0,174,38,0.72,0.03,0.01
G32003100029011,32,31,2901,1308,1036,39,15,27,2,158,31,0.79,0.03,0.01
G32003100029012,32,31,2901,1199,914,33,14,33,32,118,55,0.76,0.03,0.01
G32003100029013,32,31,2901,1045,862,30,17,38,1,49,48,0.82,0.03,0.02
G32003100029021,32,31,2902,1148,776,41,9,18,0,283,21,0.68,0.04,0.01
G32003100029022,32,31,2902,994,721,16,4,34,6,180,33,0.73,0.02,0.00
G32003100029023,32,31,2902,1012,738,18,11,32,6,177,30,0.73,0.02,0.01
G32003100029024,32,31,2902,1202,836,47,15,46,3,196,59,0.70,0.04,0.01
G32003100030001,32,31,3000,726,524,18,14,45,4,79,42,0.72,0.02,0.02
G32003100030002,32,31,3000,1236,864,13,7,46,28,223,55,0.70,0.01,0.01
G32003100030003,32,31,3000,2343,1600,57,35,132,2,400,117,0.68,0.02,0.01
G32003100030004,32,31,3000,782,564,7,15,21,8,141,26,0.72,0.01,0.02
G32003100030005,32,31,3000,800,559,35,20,25,2,116,43,0.70,0.04,0.03
G32003100030006,32,31,3000,766,595,29,17,17,6,60,42,0.78,0.04,0.02
G32003100031011,32,31,3101,1545,1117,47,28,105,5,159,84,0.72,0.03,0.02
G32003100031012,32,31,3101,1372,1031,51,22,108,20,110,30,0.75,0.04,0.02
G32003100031013,32,31,3101,426,320,8,9,11,3,58,17,0.75,0.02,0.02
G32003100031014,32,31,3101,1052,729,30,17,28,17,190,41,0.69,0.03,0.02
G32003100031051,32,31,3105,1153,948,25,7,87,1,39,46,0.82,0.02,0.01
G32003100031052,32,31,3105,991,786,36,10,29,13,73,44,0.79,0.04,0.01
G32003100031061,32,31,3106,1006,678,20,11,54,6,194,43,0.67,0.02,0.01
G32003100031062,32,31,3106,1310,1028,47,16,75,11,95,38,0.78,0.04,0.01
G32003100031063,32,31,3106,943,774,22,5,13,17,78,34,0.82,0.02,0.01
G32003100031064,32,31,3106,978,713,37,8,51,15,110,44,0.73,0.04,0.01
G32003100031065,32,31,3106,1510,1081,37,19,115,4,210,44,0.72,0.02,0.01
G32003100031066,32,31,3106,1444,1011,30,29,116,11,172,75,0.70,0.02,0.02
G32003100031081,32,31,3108,1345,1144,26,14,55,0,51,55,0.85,0.02,0.01
G32003100031082,32,31,3108,1957,1527,34,47,83,15,163,88,0.78,0.02,0.02
G32003100031091,32,31,3109,1396,1199,12,9,129,0,32,15,0.86,0.01,0.01
G32003100031092,32,31,3109,1515,1182,34,16,173,2,38,70,0.78,0.02,0.01
G32003100031101,32,31,3110,1660,1251,31,17,160,3,121,77,0.75,0.02,0.01
G32003100031102,32,31,3110,1591,1215,50,20,128,8,110,60,0.76,0.03,0.01
G32003100031103,32,31,3110,652,547,24,14,24,5,18,20,0.84,0.04,0.02
G32003100031104,32,31,3110,1195,978,34,12,78,2,58,33,0.82,0.03,0.01
G32003100032021,32,31,3202,1221,1144,10,17,8,0,24,18,0.94,0.01,0.01
G32003100032022,32,31,3202,1154,1050,9,18,19,3,16,39,0.91,0.01,0.02
G32003100032023,32,31,3202,740,715,1,1,5,1,5,12,0.97,0.00,0.00
G32003100032024,32,31,3202,1140,1068,3,5,13,3,11,37,0.94,0.00,0.00
G32003100032025,32,31,3202,1415,1308,6,17,5,13,40,26,0.92,0.00,0.01
G32003100032031,32,31,3203,1826,1695,11,8,39,1,20,52,0.93,0.01,0.00
G32003100032032,32,31,3203,2723,2520,13,12,87,3,39,49,0.93,0.00,0.00
G32003100032041,32,31,3204,1106,1033,4,11,10,1,21,26,0.93,0.00,0.01
G32003100032042,32,31,3204,1416,1357,8,6,20,2,5,18,0.96,0.01,0.00
G32003100033051,32,31,3305,1247,1016,2,11,32,1,146,39,0.81,0.00,0.01
G32003100033061,32,31,3306,993,740,3,1,9,0,223,17,0.75,0.00,0.00
G32003100033062,32,31,3306,737,614,3,5,25,1,75,14,0.83,0.00,0.01
G32003100033071,32,31,3307,608,506,6,1,25,0,60,10,0.83,0.01,0.00
G32003100033072,32,31,3307,623,589,1,0,18,0,8,7,0.95,0.00,0.00
G32003100033081,32,31,3308,877,829,2,2,13,0,22,9,0.95,0.00,0.00
G32003100033082,32,31,3308,1084,1006,5,1,16,1,32,23,0.93,0.00,0.00
G32003100033083,32,31,3308,372,358,1,2,5,0,6,0,0.96,0.00,0.01
G32003100033091,32,31,3309,690,611,1,0,13,0,50,15,0.89,0.00,0.00
G32003100033092,32,31,3309,760,683,3,2,25,2,25,20,0.90,0.00,0.00
G32003100033093,32,31,3309,460,396,2,2,5,1,45,9,0.86,0.00,0.00
G32003100033094,32,31,3309,636,580,0,2,8,1,26,19,0.91,0.00,0.00
G32003100035011,32,31,3501,571,491,4,21,7,0,35,13,0.86,0.01,0.04
G32003100035012,32,31,3501,2521,1898,18,500,22,4,33,46,0.75,0.01,0.20
G32003100035013,32,31,3501,1113,1005,9,37,11,1,3,47,0.90,0.01,0.03
G32003100035031,32,31,3503,932,773,21,7,46,0,61,24,0.83,0.02,0.01
G32003100035032,32,31,3503,2132,1940,27,24,36,3,46,56,0.91,0.01,0.01
G32003100035033,32,31,3503,1353,1196,9,11,38,1,44,54,0.88,0.01,0.01
G32003100035041,32,31,3504,1693,1480,21,25,34,4,73,56,0.87,0.01,0.01
G32003100035042,32,31,3504,1994,1748,48,27,48,14,41,68,0.88,0.02,0.01
G32003100035043,32,31,3504,2366,2058,37,36,100,0,55,80,0.87,0.02,0.02
G32003100035044,32,31,3504,1302,1154,18,23,11,5,41,50,0.89,0.01,0.02
G32003100035071,32,31,3507,2048,1722,65,24,124,4,45,64,0.84,0.03,0.01
G32003100035072,32,31,3507,2162,1836,36,20,127,6,61,76,0.85,0.02,0.01
G32003100035081,32,31,3508,1326,1095,20,7,99,3,59,43,0.83,0.02,0.01
G32003100035082,32,31,3508,1388,1149,19,8,117,3,54,38,0.83,0.01,0.01
G32003100035091,32,31,3509,1055,808,30,7,113,9,40,48,0.77,0.03,0.01
G32003100035092,32,31,3509,1294,965,29,14,136,1,104,45,0.75,0.02,0.01
G32003100035093,32,31,3509,1146,896,26,19,66,4,93,42,0.78,0.02,0.02
G32003100035094,32,31,3509,730,576,21,7,64,6,35,21,0.79,0.03,0.01
G32003100035101,32,31,3510,1133,746,29,13,158,10,124,53,0.66,0.03,0.01
G32003100035102,32,31,3510,1233,1017,18,12,35,8,86,57,0.82,0.01,0.01
G32003100035103,32,31,3510,1165,912,31,8,83,2,83,46,0.78,0.03,0.01
G32003100035111,32,31,3511,1637,1397,35,23,70,7,34,71,0.85,0.02,0.01
G32003100035112,32,31,3511,1473,1336,21,5,47,0,23,41,0.91,0.01,0.00
G32003100035113,32,31,3511,2097,1859,27,16,52,8,47,88,0.89,0.01,0.01
G32003100035121,32,31,3512,2210,1786,31,31,143,3,100,116,0.81,0.01,0.01
G32003100035122,32,31,3512,2148,1805,43,10,113,18,67,92,0.84,0.02,0.00
G32003100035131,32,31,3513,1230,1021,9,17,74,6,68,35,0.83,0.01,0.01
G32003100035132,32,31,3513,1435,1144,55,22,79,7,65,63,0.80,0.04,0.02
G32003100035141,32,31,3514,1684,1565,14,11,22,0,41,31,0.93,0.01,0.01
G32003100035142,32,31,3514,1168,1083,7,17,23,2,10,26,0.93,0.01,0.01
G32003100035151,32,31,3515,914,832,14,13,13,0,27,15,0.91,0.02,0.01
G32003100035152,32,31,3515,2030,1734,47,18,106,7,65,53,0.85,0.02,0.01
G32003100035153,32,31,3515,2245,1691,84,21,161,13,149,126,0.75,0.04,0.01
G32003100035154,32,31,3515,844,755,2,13,5,1,37,31,0.89,0.00,0.02
G32003109402001,32,31,940200,1650,339,6,1251,4,5,23,22,0.21,0.00,0.76
G32003109800001,32,31,980000,217,169,13,7,3,1,23,1,0.78,0.06,0.03
G32003109801001,32,31,980100,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
G32003109802001,32,31,980200,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
G32003109803001,32,31,980300,8,8,0,0,0,0,0,0,1.00,0.00,0.00
G32003109900000,32,31,990000,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
G32003109901000,32,31,990100,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
G32003309701001,32,33,970100,689,634,2,24,1,0,14,14,0.92,0.00,0.03
G32003309701002,32,33,970100,1193,1093,6,24,4,0,30,36,0.92,0.01,0.02
G32003309702001,32,33,970200,1645,1484,16,45,11,2,44,43,0.90,0.01,0.03
G32003309702002,32,33,970200,1519,1210,12,183,19,6,51,38,0.80,0.01,0.12
G32003309702003,32,33,970200,766,689,1,10,14,0,17,35,0.90,0.00,0.01
G32003309702004,32,33,970200,1989,1521,347,48,25,1,25,22,0.76,0.17,0.02
G32003309703001,32,33,970300,672,605,4,23,1,0,18,21,0.90,0.01,0.03
G32003309703002,32,33,970300,634,543,2,33,5,1,38,12,0.86,0.00,0.05
G32003309703003,32,33,970300,923,796,5,29,17,0,42,34,0.86,0.01,0.03
G32051000001001,32,510,100,1104,1021,5,29,26,1,10,12,0.92,0.00,0.03
G32051000001002,32,510,100,797,754,0,12,11,0,7,13,0.95,0.00,0.02
G32051000001003,32,510,100,1133,999,12,34,20,1,27,40,0.88,0.01,0.03
G32051000002001,32,510,200,1627,1452,11,27,48,3,51,35,0.89,0.01,0.02
G32051000002002,32,510,200,1039,903,5,12,19,0,83,17,0.87,0.00,0.01
G32051000002003,32,510,200,860,786,0,9,13,3,26,23,0.91,0.00,0.01
G32051000003001,32,510,300,1454,1370,3,13,31,5,5,27,0.94,0.00,0.01
G32051000003002,32,510,300,528,285,0,208,6,1,10,18,0.54,0.00,0.39
G32051000003003,32,510,300,1824,1653,7,17,87,5,10,45,0.91,0.00,0.01
G32051000004001,32,510,400,1334,1214,6,17,34,2,32,29,0.91,0.00,0.01
G32051000004002,32,510,400,838,763,4,3,4,0,49,15,0.91,0.00,0.00
G32051000004003,32,510,400,1639,1278,20,26,30,3,202,80,0.78,0.01,0.02
G32051000005011,32,510,501,3193,2481,14,57,142,11,381,107,0.78,0.00,0.02
G32051000005012,32,510,501,719,598,5,10,10,1,68,27,0.83,0.01,0.01
G32051000005013,32,510,501,1267,927,18,21,62,0,184,55,0.73,0.01,0.02
G32051000005014,32,510,501,923,486,9,3,20,1,370,34,0.53,0.01,0.00
G32051000005021,32,510,502,705,539,23,8,16,2,78,39,0.76,0.03,0.01
G32051000005022,32,510,502,1019,828,12,19,13,6,117,24,0.81,0.01,0.02
G32051000005023,32,510,502,1416,1122,7,18,19,3,186,61,0.79,0.00,0.01
G32051000006001,32,510,600,1517,1225,30,38,20,2,142,60,0.81,0.02,0.03
G32051000006002,32,510,600,989,792,13,31,9,0,113,31,0.80,0.01,0.03
G32051000006003,32,510,600,1641,1228,310,49,31,0,17,6,0.75,0.19,0.03
G32051000006004,32,510,600,2235,1725,27,49,157,4,183,90,0.77,0.01,0.02
G32051000007011,32,510,701,1039,895,11,7,28,2,57,39,0.86,0.01,0.01
G32051000007012,32,510,701,1363,1159,13,11,36,3,99,42,0.85,0.01,0.01
G32051000007013,32,510,701,1499,1325,10,35,19,4,65,41,0.88,0.01,0.02
G32051000007021,32,510,702,1127,752,4,12,34,4,292,29,0.67,0.00,0.01
G32051000007022,32,510,702,1365,1218,8,16,32,2,49,40,0.89,0.01,0.01
G32051000007023,32,510,702,977,894,6,8,14,5,23,27,0.92,0.01,0.01
G32051000008001,32,510,800,1290,1131,3,36,20,2,57,41,0.88,0.00,0.03
G32051000008002,32,510,800,714,457,9,148,0,0,68,32,0.64,0.01,0.21
G32051000008003,32,510,800,2777,2247,368,47,47,10,26,32,0.81,0.13,0.02
G32051000009001,32,510,900,940,784,0,14,6,0,115,21,0.83,0.00,0.01
G32051000009002,32,510,900,1733,1472,8,46,8,0,160,39,0.85,0.00,0.03
G32051000009003,32,510,900,1584,1281,1,33,8,2,206,53,0.81,0.00,0.02
G32051000009004,32,510,900,921,753,2,11,7,0,126,22,0.82,0.00,0.01
G32051000010011,32,510,1001,1347,811,14,46,3,1,424,48,0.60,0.01,0.03
G32051000010012,32,510,1001,1664,1131,14,45,23,2,387,62,0.68,0.01,0.03
G32051000010013,32,510,1001,1376,840,13,35,17,2,408,61,0.61,0.01,0.03
G32051000010021,32,510,1002,1428,1359,5,6,9,6,15,28,0.95,0.00,0.00
G32051000010022,32,510,1002,1348,1119,14,29,34,1,108,43,0.83,0.01,0.02
G32051000010023,32,510,1002,981,750,10,11,8,1,169,32,0.76,0.01,0.01
G32051009900000,32,510,990000,0,0,0,0,0,0,0,0,0.00,0.00,0.00
